Area;Perimeter;Glacier;Année;Massif;WGI;Opérateur;MEAN_Pixel;MIN_PixelV;MAX_PixelV;MEDIAN_Pix;date;data_sourc;institutio;date_analy;FID_1;Length;aspect_sec;x_coord;y_coord;GLIMS_ID;analyst_2;processing;MEAN_Pix_1
0.5004;5.0923;de Premou 1;2015;Vanoise;F4N01146B07;Antoine Rabatel;3058.72093023;2841;3285;3061.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;504;837.19804;NW;6.8536521725;45.4121059791;G006862E45413N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;26.771
3.1526;20.1183;de la Grande Motte;2015;Vanoise;F4N01146B04;Antoine Rabatel;3025.98508230;2661;3634;2965.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;582;3437.85958;NNW;6.8810907877;45.4205773052;G006881E45423N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;19.068
0.6218;7.5231;des Grands Couloirs;2015;Vanoise;F4N01146C20;Antoine Rabatel;3411.10215054;2936;3777;3490.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;524;1463.47855;W;6.8164950947;45.4018724781;G006811E45402N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;32.000
0.8478;8.0433;des Sources de l'Arc 4;2015;Haute Maurienne;F4N01153B14;Antoine Rabatel;3157.04296875;3004;3319;3155.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;540;1290.40915;W;7.1763747060;45.4023353869;G007170E45398N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.126
0.6368;5.3577;des Sources de l'Arc 2;2015;Haute Maurienne;F4N01153B14;Antoine Rabatel;2935.75456919;2707;3212;2930.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;526;1697.58305;W;7.1578095064;45.3877221166;G007170E45398N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.126
1.7369;9.8408;du Mulinet;2015;Haute Maurienne;F4N01153B19;Antoine Rabatel;3083.78273245;2850;3302;3086.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;569;1762.03611;NW;7.1519395374;45.3768115975;G007144E45371N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;15.655
1.3635;11.6501;du Grand Mean Nord 1;2015;Vanoise;F4N01153B20;Antoine Rabatel;3082.42214112;2874;3327;3087.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;562;2218.03708;WNW;7.1474926162;45.3614414861;G007143E45363N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.821
1.8769;10.9405;du Vallonnet;2015;Vanoise;F4N01152C13;Antoine Rabatel;3282.27161572;3019;3498;3286.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;574;1798.92481;NNE;6.9095249726;45.3330897834;G006904E45335N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;11.339
2.4153;20.6912;des Evettes;2015;Haute Maurienne;F4N01153B26;Antoine Rabatel;3091.36770692;2808;3467;3084.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;577;1821.21794;NNW;7.1167658767;45.3347757244;G007119E45337N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;25.583
1.3946;16.3987;du Genepy;2015;Vanoise;F4N01146C38;Antoine Rabatel;3211.43341121;2838;3571;3224.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;564;1427.03096;NW;6.7309510585;45.3096339801;G006727E45309N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;26.676
1.2258;6.2260;des Sonnailles;2015;Vanoise;F4N01146C30;Antoine Rabatel;3427.64713715;3232;3551;3435.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;555;2129.68695;N;6.7443822330;45.3351709620;G006747E45337N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;12.434
0.9306;8.2921;de la Mahure 1;2015;Vanoise;F4N01152A05;Antoine Rabatel;2985.31514085;2662;3289;2973.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;544;2345.07412;E;6.7486745281;45.2961183204;G006745E45302N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;25.351
0.5423;4.8023;de Charbonnel;2015;Haute Maurienne;F4N01153C31;Antoine Rabatel;3463.27134146;3212;3733;3453.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;509;844.69131;NNW;7.0524967710;45.2839111051;G007048E45284N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.053
0.6435;5.4502;d'Arnes;2015;Haute Maurienne;F4N01153C17;Antoine Rabatel;3125.98492462;2856;3346;3140.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;527;1408.46976;NNW;7.1302284975;45.2784444489;G007130E45280N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;21.605
1.2952;12.2029;de Chaviere 1_1;2015;Vanoise;F4N01151B03;Antoine Rabatel;3185.51870968;2950;3450;3167.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;559;2452.26152;SSE;6.6204487193;45.2711465805;G006615E45266N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;15.421
0.8413;6.9573;de Chaviere 1_2;2015;Vanoise;F4N01151B03;Antoine Rabatel;3035.81889764;2853;3273;3024.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;538;1693.44271;SSE;6.6124943453;45.2518950232;G006615E45266N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;15.421
1.1305;7.8954;Baounet 1_1;2015;Haute Maurienne;F4N01153C19;Antoine Rabatel;3018.42380261;2801;3283;3014.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;549;2639.28057;NW;7.1207655246;45.2531740544;G007117E45255N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;12.121
0.5437;-1.7976;de Derriere le Clapier 1;2015;Haute Maurienne;F4N01153C25;Antoine Rabatel;2995.05120482;2828;3222;3009.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;510;1284.64911;NNE;7.0878025022;45.2318450343;G007090E45233N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.738
