Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num;ID
0.0479;1.4312;des Audras (?);2003;Haute Maurienne;3182.565217;3154;3213;3182;336.183351;WNW;7.1081;45.3178;G007108E45318N;11;270;3442
1.0311;7.2264;du Grand Fond;2003;Haute Maurienne;3261.804622;2986;3575;3267.5;831.4991122;SSW;7.09701;45.329;G007097E45329N;11;180;3543
0.189;3.0464;du Colerin 1;2003;Haute Maurienne;3312.827381;3155;3497;3308;831.4991122;SSW;7.09701;45.329;G007097E45329N;11;180;3735
1.6855;11.878;Superieur du Vallonnet;2003;Haute Maurienne;3176.523643;2817;3550;3188;2521.176369;NNW;7.08692;45.3409;G007087E45341N;11;0;3654
0.3978;3.9875;Inferieur du Vallonnet;2003;Vanoise;2692.352313;2459;3011;2666;1222.201598;NNW;7.08795;45.35;G007088E45350N;11;0;3367
3.152;14.4694;des Evettes;2003;Haute Maurienne;3040.47896;2593;3464;3044.5;2266.174462;NNW;7.11929;45.3366;G007119E45337N;11;0;3182
0.1377;2.861;de la Pointe Bonneval (?);2003;Haute Maurienne;2924.372263;2797;3080;2924;464.4542826;WNW;7.12733;45.3468;G007127E45347N;11;270;3325
0.2529;2.7806;du Grand Mean Sud;2003;Haute Maurienne;3051.241228;2820;3240;3049.5;391.1248718;NNW;7.13563;45.3531;G007136E45353N;11;0;3386
2.012;14.601;du Grand Mean Nord;2003;Vanoise;3096.126667;2866;3347;3095.5;2329.303841;WNW;7.14293;45.3633;G007143E45363N;11;270;3373
2.372;12.1067;du Mulinet;2003;Haute Maurienne;3053.913758;2768;3320;3054;1705.54065;NW;7.14375;45.3715;G007144E45371N;11;315;3701
0.0159;0.7224;des Trois Becs 1;2003;Haute Maurienne;3095.571429;3073;3118;3094.5;179.0628632;WSW;7.16217;45.4089;G007162E45409N;11;270;3730
0.0242;1.0179;de Levanna 1 (?);2003;Haute Maurienne;3178.444444;3139;3217;3181;307.638192;SSW;7.15484;45.4131;G007155E45413N;11;180;3729
