Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num
0.5912;10.3491;de l'Invernet 1;2015;Haute Vallee de l'Isere;2900.802778;2602;3264;2904;2175.3077;WNW;6.990271225;45.63487496;G006986E45634N;6;270
0.0154;0.6891;de l'Invernet 3;2015;Haute Vallee de l'Isere;3093.545455;3046;3125;3097;218.77524;WNW;6.987566811;45.62721448;G006986E45634N;6;270
0.0102;0.62;d'Archeboc;2015;Haute Vallee de l'Isere;3152;3142;3159;3154;126.39253;SW;6.98319113;45.57960592;G006985E45580N;6;225
0.0932;1.7583;du Varet;2015;Haute Vallee de l'Isere;3019.559322;2903;3116;3032;528.86787;N;6.849322705;45.55531156;G006849E45556N;6;0
0.7193;4.9444;Inferieur des Balmes;2015;Haute Vallee de l'Isere;2476.04;2374;2783;2447;1288.43916;NNW;6.974455453;45.54834339;G006972E45549N;6;0
0.0096;0.4876;du Grand Col 2_2;2015;Haute Vallee de l'Isere;3193.833333;3159;3232;3193;123.36579;NNE;6.860757866;45.53684988;G006851E45543N;6;0
0.238;3.1464;de Turia;2015;Haute Vallee de l'Isere;2859.818792;2687;3092;2847;942.92159;N;6.864684523;45.54048149;G006865E45542N;6;0
0.0231;0.867;du Grand Col 2_1;2015;Haute Vallee de l'Isere;3418.230769;3401;3447;3416;196.34402;NNE;6.858029513;45.53544667;G006851E45543N;6;0
0.2466;4.577;du Grand Col 1;2015;Haute Vallee de l'Isere;3172.379085;2998;3406;3150;680.70935;NNE;6.851584986;45.53733932;G006851E45543N;6;0
0.608;5.7249;Nord de la Gurraz;2015;Haute Vallee de l'Isere;3044.081081;2656;3390;3041;1949.45518;ENE;6.870209131;45.5345396;G006872E45535N;6;90
0.4191;4.7337;du Geay;2015;Haute Vallee de l'Isere;3324.325301;2925;3720;3334;1340.30464;W;6.854025846;45.53132528;G006850E45532N;6;270
0.0224;0.6839;du Carro;2015;Haute Vallee de l'Isere;2892.733333;2847;2957;2884;204.20266;SW;6.856445595;45.52104237;G006854E45521N;6;225
0.0293;0.9174;du Pretre;2015;Haute Vallee de l'Isere;3355.166667;3286;3468;3337.5;285.18452;W;6.864560086;45.51694861;G006864E45518N;6;270
0.0097;0.6936;de l'Inverneau 2;2015;Haute Vallee de l'Isere;2591.5;2555;2641;2589;221.35767;ENE;6.889700792;45.51588329;G006888E45514N;6;90
1.583;10.2692;de la Gurraz;2015;Haute Vallee de l'Isere;3099.925926;2481;3563;3094;2801.79007;NE;6.872276039;45.52580102;G006874E45531N;6;45
0.1105;3.479;de l'Inverneau 1;2015;Haute Vallee de l'Isere;2904.921875;2806;2989;2903.5;497.53655;ENE;6.887325057;45.51131725;G006888E45514N;6;90
0.3322;4.2166;de la Martin;2015;Haute Vallee de l'Isere;3026.112821;2708;3380;3027;1276.63442;NE;6.8818951;45.51535517;G006883E45518N;6;45
0.3357;4.7401;des Platieres;2015;Haute Vallee de l'Isere;3162.99005;2896;3482;3146;878.46351;NW;6.862555795;45.51137276;G006857E45512N;6;315
0.1267;2.0772;Suspendu ou de la Sache;2015;Ecrins;3263.105263;3153;3353;3261;383.2468;NNE;6.869404572;45.50734802;G006223E44966N;6;0
0.6644;5.8275;du Fond;2015;Haute Vallee de l'Isere;3229.065327;2933;3614;3190;1700.45427;NW;6.996283433;45.51752283;G006993E45521N;6;315
0.1683;3.5236;de Rhemes Golette 3;2015;Haute Vallee de l'Isere;3087.828283;2915;3206;3100;862.22758;NNW;7.045697677;45.48603762;G007045E45487N;6;0
0.0162;0.6513;de Rhemes Golette 2;2015;Haute Vallee de l'Isere;3372;3340;3407;3371;162.76635;NNW;7.045336929;45.48114533;G007045E45487N;6;0
0.081;2.2482;du Santel;2015;Haute Vallee de l'Isere;3118.230769;3000;3270;3106.5;762.75455;NW;7.035546644;45.47918484;G007035E45480N;6;315
0.0583;3.4112;du Couart Dessus;2015;Haute Vallee de l'Isere;3263.805556;3114;3432;3267;755.34185;S;7.042556834;45.47580723;G007042E45475N;6;180
0.0653;1.8836;de Bazel 2;2015;Haute Vallee de l'Isere;3350.075;3303;3411;3347.5;603.90982;SW;7.056070095;45.47106295;G007056E45469N;6;225
0.0289;1.3268;de Bazel 1;2015;Haute Vallee de l'Isere;3147.470588;3068;3247;3141;322.28544;SW;7.055494739;45.4687188;G007056E45469N;6;225
0.0055;0.3529;de Pramecou 1_3;2015;Vanoise;2896.25;2881;2912;2896;95.02907;NW;6.882169796;45.43414358;G006870E45430N;6;315
0.0027;0.2987;du Grand Vallon;2015;Vanoise;3141.5;3130;3153;3141.5;53.76499;NNE;7.046137807;45.43382316;G006886E45334N;6;0
0.0232;1.2456;du Pers 2_2;2015;Haute Vallee de l'Isere;3171.666667;3047;3273;3175.5;225.87863;NNE;7.065392209;45.43019458;G007065E45432N;6;0
0.2584;3.8944;du Grand Pisaillas 1;2015;Haute Maurienne;3160.912752;3053;3244;3168;725.30387;WNW;7.064712928;45.42440032;G007062E45426N;6;270
